,Product Name,category,Discount Price,Original Price,Percentage Off,Rating,Total Rating,Image Link
1,MOTOROLA EnvisionX 109 cm (43 inch) Full HD LED Smart G...,43FHDGDMBSXP,"₹17,999","₹37,000",51% off,4.2,"(3,619)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/c/0/y/-original-imagtzxt8jvqfe5y.jpeg?q=70
2,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) ...,55UHDGQMBSGQ,"₹29,999","₹1,19,980",74% off,4.3,"(4,136)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/j/l/3/-original-imagtwtewzgfnvjp.jpeg?q=70
3,MOTOROLA Envision X 80 cm (32 inch) HD Ready LED Smart ...,32HDGDMWSBE,"₹9,999","₹20,000",50% off,4.2,"(3,619)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/j/1/2/32hdgdmwsbe-motorola-original-imagrwh5ghsevqnf.jpeg?q=70
4,MOTOROLA 80 cm (32 inch) HD Ready LED Smart Google TV,32HDGDMBSXP,"₹9,999","₹20,000",50% off,4.2,"(3,619)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/p/n/y/-original-imagxyxzyvweg64x.jpeg?q=70
5,MOTOROLA EnvisionX 127 cm (50 inch) Ultra HD (4K) LED S...,50UHDGDMBSXP,"₹24,999","₹51,999",51% off,4.3,"(2,233)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/f/r/a/-original-imagtkmpjhtnarbg.jpeg?q=70
6,MOTOROLA EnvisionX 102 cm (40 inch) Full HD LED Smart G...,40FHDGDMBSXP,"₹16,999","₹28,999",41% off,4.2,"(3,619)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/z/m/z/-original-imagtzxtaqfzregz.jpeg?q=70
7,MOTOROLA EnvisionX 140 cm (55 inch) Ultra HD (4K) LED S...,55UHDGDMBSXP,"₹28,999","₹56,790",48% off,4.3,"(2,233)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/h/h/z/-original-imagtkmqtz7k3rhv.jpeg?q=70
8,MOTOROLA EnvisionX 165 cm (65 inch) QLED Ultra HD (4K) ...,65UHDGQMBSGQ,"₹39,999","₹1,40,580",71% off,4.3,"(4,136)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/b/g/n/-original-imagtwterapbxxdj.jpeg?q=70
9,MOTOROLA Revou 127 cm (50 inch) Ultra HD (4K) LED Smart...,50UHDADMRS7P,"₹34,999","₹48,999",28% off,4.4,"(1,530)",https://rukminim2.flixcart.com/image/612/612/ku2zjww0/television/n/m/t/50uhdadmrs7p-motorola-original-imag7a7nxfx7thmx.jpeg?q=70
10,MOTOROLA EnvisionX 165 cm (65 inch) Ultra HD (4K) LED S...,65UHDGDMBSXP,"₹39,499","₹63,999",38% off,4.3,"(2,233)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/j/6/t/-original-imagtkmpgyd3zdp2.jpeg?q=70
11,MOTOROLA EnvisionX 109 cm (43 inch) Ultra HD (4K) LED S...,43UHDGDMBSXP,"₹21,999","₹49,990",55% off,4.3,"(2,233)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/x/c/a/-original-imagtkmpfat5qcrz.jpeg?q=70
12,Blaupunkt Quantum Dot 108 cm (43 inch) QLED Ultra HD (4...,43QD7050,"₹21,999","₹33,999",35% off,4.6,"(4,824)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/2/s/w/-original-imagtfyyvggtkdqw.jpeg?q=70
13,MOTOROLA EnvisionX 140 cm (55 inch) QLED Ultra HD (4K) ...,55UHDGQMWS5Q,"₹34,999","₹59,990",41% off,4.3,(989),https://rukminim2.flixcart.com/image/612/612/xif0q/television/b/f/8/55uhdgqmws5q-motorola-original-imagq2shgv74zrya.jpeg?q=70
14,MOTOROLA EnvisionX 165 cm (65 inch) QLED Ultra HD (4K) ...,65UHDGQMWS5Q,"₹44,999","₹70,290",35% off,4.3,(989),https://rukminim2.flixcart.com/image/612/612/xif0q/television/j/v/6/65uhdgqmws5q-motorola-original-imagq2skdhcfpyuc.jpeg?q=70
15,MOTOROLA EnvisionX 218 cm (86 inch) Ultra HD (4K) LED S...,86UHDADMBS5E,"₹1,19,999","₹2,30,400",47% off,4.3,"(2,233)",https://rukminim2.flixcart.com/image/612/612/xif0q/television/a/n/u/-original-imagu6z6ysymv868.jpeg?q=70
