,Product Name,Price,Rating
0,"SAMSUNG Galaxy F54 5G (Stardust Silver, 256 GB)","₹29,999","(6,445)"
1,"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹17,999","(3,944)"
2,"SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)","₹38,999","(1,085)"
3,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹13,990","(35,106)"
4,"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹18,999","(3,682)"
5,"SAMSUNG Galaxy S23 Ultra 5G (Green, 256 GB)","₹1,24,999","(1,215)"
6,SAMSUNG GT-E1215ZKAINS,"₹1,150","(65,208)"
7,SAMSUNG GT-E1215ZDAINS,"₹1,299","(35,467)"
8,SAMSUNG GT-E1215ZWAINS,"₹1,399","(34,178)"
9,SAMSUNG Metro 313,"₹2,099","(2,631)"
10,SAMSUNG Metro 313 Dual Sim,"₹2,399","(15,036)"
11,SAMSUNG Guru Music 2,"₹2,490","(2,09,798)"
12,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹8,499","(42,367)"
13,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹8,499","(42,367)"
14,"SAMSUNG Galaxy A03 (Red, 64 GB)","₹9,990",(197)
15,"SAMSUNG M01 core (Blue, 32 GB)","₹6,490","(10,166)"
16,"SAMSUNG M02s (Blue, 32 GB)","₹8,490","(1,307)"
17,"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹6,744","(4,102)"
18,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","(1,70,632)"
19,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹10,999","(1,70,632)"
20,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹11,999","(1,70,632)"
21,"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹12,990","(13,390)"
22,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹14,999","(2,09,393)"
23,"SAMSUNG Galaxy A14 (Light Green, 64 GB)","₹13,999",(58)
24,"SAMSUNG Galaxy A23 (Blue, 128 GB)","₹16,490","(1,099)"
25,"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",,"(1,70,632)"
26,"SAMSUNG Galaxy A14 5G (Dark Red, 64 GB)","₹15,999","(2,171)"
27,"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹19,999","(1,997)"
28,"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹18,999","(3,682)"
29,"SAMSUNG Galaxy A14 5G (Dark Red, 128 GB)","₹17,999","(3,944)"
